,word,frequency
50,sweet,4575
42,robust,3609
304,fruity,3477
58,beer,3176
126,-,2641
29,dark,2594
15,like,2277
107,head,2043
390,nice,1886
125,taste,1869
178,one,1791
141,texture,1624
292,bit,1536
398,white,1506
66,little,1501
56,really,1490
302,malty,1417
51,good,1390
268,notes,1369
28,pours,1323
53,bourbon,1291
243,bitter,1286
57,great,1255
4,coffee,1252
135,well,1237
104,black,1211
168,poured,1148
30,brown,1116
249,bottle,1113
39,barrel,1074
121,aroma,1063
279,flavor,1043
115,nose,993
176,"chocolate,",991
152,beer.,959
554,body,941
62,flavors,940
38,much,928
102,thick,915
170,head.,905
938,hop,833
568,get,832
54,floral,817
454,big,800
212,crisp,782
745,quite,777
588,still,758
1443,slightly,755
2283,tropical,753
43,mouthfeel,750
257,"vanilla,",748
346,almost,731
31,color,731
2341,hazy,716
179,best,714
277,alcohol,711
962,dry,709
146,would,706
350,full,706
259,feel,678
281,finish.,674
172,hint,649
194,thin,640
517,also,630
1480,finish,629
916,pretty,623
616,slight,616
129,even,615
10,maple,612
180,i've,612
177,touch,607
47,"coffee,",596
171,smell,576
3915,sour,575
527,roasted,574
1659,finger,566
94,balanced,565
306,super,562
132,it.,556
748,"bourbon,",549
228,definitely,533
36,lots,532
1011,"oak,",528
3184,tart,526
626,stout,520
459,mild,517
252,smells,513
83,beers,499
2576,juicy,498
923,balance,494
1140,carbonation.,494
1552,moderate,493
481,first,493
2458,grapefruit,488
996,lacing,484
1306,hops,480
403,"beer,",480
248,tan,475
1317,soft,472
2915,fresh,472
521,coconut,463
220,complex,461
1143,"caramel,",448
35,glass.,446
197,glass,444
627,it’s,436
44,lot,435
2493,golden,434
300,back,432
88,overall,426
402,perfect,420
186,pour,420
1534,deep,417
1111,around,413
1044,way,413
1171,mouth,412
1580,amount,411
4148,wine,410
404,think,410
181,ever,408
1411,could,407
1626,i'm,403
117,huge,401
349,heavy,397
169,small,396
1316,medium,396
285,excellent,395
241,"fruit,",394
2385,"mango,",394
397,try,394
266,better,394
643,drink,390
733,time,389
623,&,386
763,"sweet,",384
2286,ipa,378
2717,"pineapple,",375
499,aromas,374
753,high,372
392,red,372
1213,lacing.,371
600,two,358
462,earthy,358
1121,follows,358
2326,dank,358
2623,yellow,356
944,milk,356
556,well.,356
293,amazing,353
791,love,350
414,maybe,349
589,comes,347
1139,low,346
336,right,341
3176,easy,341
2332,pine,340
1730,bodied,339
824,sticky,339
2342,bright,337
490,"body,",335
74,top,335
2333,"grapefruit,",334
382,nose.,334
2379,"orange,",333
151,aged,333
3316,peach,332
1736,"head,",332
361,long,331
882,boozy,330
1655,abv,329
366,subtle,327
491,quickly,326
805,minimal,323
375,got,323
1183,solid,323
1660,leaves,320
205,along,319
108,retention,318
324,cinnamon,317
253,tastes,317
1366,hints,317
762,lingering,316
69,notes.,314
140,"thick,",314
902,base,312
1331,fairly,306
145,"overall,",306
2459,lemon,305
23,worth,304
855,another,303
2507,pineapple,302
6881,funk,302
466,"smooth,",302
1352,side,300
2187,palate,299
1373,finishes,299
63,without,298
1311,"malt,",298
1470,foam,295
1749,there's,292
37,"nose,",290
174,drinking,288
406,green,288
564,yet,287
1125,enough,286
1999,beautiful,284
2674,pale,283
2565,juice,282
2598,"citrus,",281
3285,mango,279
328,ring,274
1001,"molasses,",274
1253,absolutely,272
1895,"toffee,",272
883,stout.,266
460,toasted,265
675,"it,",263
3483,fruits,260
84,less,259
61,many,258
693,favorite,258
5368,cherry,258
1318,"carbonation,",257
750,tons,256
2361,canned,255
1399,imperial,254
637,come,254
1820,going,253
1080,makes,252
6885,"funk,",252
1193,"sugar,",249
384,booze,248
714,something,248
40,heat,246
706,character,245
451,roasty,244
486,mocha,244
1714,thanks,244
1732,brew,244
46,flavor.,243
1210,opaque,241
1315,bitterness.,241
1369,"notes,",240
1538,followed,239
1005,ba,238
1065,looks,238
1560,"malts,",237
519,lightly,237
1049,half,236
2638,clear,235
829,never,233
1403,see,232
222,everything,232
6002,funky,232
262,probably,231
3469,tree,231
1154,old,230
72,style,230
334,roast,229
111,drank,228
1119,overly,227
2505,"peach,",226
2348,malts,225
792,front,225
13861,raspberry,224
505,cocoa,223
1194,fantastic,223
670,bottle.,222
438,batch,221
541,complexity,221
822,though,220
652,say,220
408,tap,219
1309,colored,219
1823,oz,217
1124,flavors.,217
1245,delicious,216
264,had.,215
465,"creamy,",215
224,stouts,214
2896,light,213
2052,sugar,213
847,every,212
1750,decent,211
754,end,208
2236,look,208
1722,"coconut,",207
967,chocolate.,207
1046,make,207
1078,extremely,206
529,getting,206
173,bourbon.,205
1505,i'd,205
229,world,205
471,that's,205
2728,ripe,204
401,seems,204
494,leaving,204
3123,plenty,204
1268,tulip,204
1312,similar,203
246,pitch,203
704,profile,201
1783,blend,201
2671,sip,201
434,me.,201
592,sure,200
638,new,200
515,spicy,199
2513,"lemon,",199
2560,hoppy,199
3308,apricot,199
560,faint,198
100,good.,196
796,"cinnamon,",196
503,brings,196
1035,note,195
640,glad,195
1302,perfectly,195
1924,taste.,195
3055,aroma.,195
2373,fluffy,195
751,burnt,194
166,2018,193
227,this.,192
911,2,191
2499,foamy,190
2895,honey,190
2936,incredibly,190
1735,"color,",190
128,find,189
2389,clean,189
3564,house,189
680,intense,189
3263,herbal,188
313,might,188
139,sweetness.,188
1185,want,187
59,hard,187
618,somewhat,185
130,looking,185
3507,"tangerine,",184
2823,stone,184
2040,vanilla.,184
1184,mouthfeel.,184
648,may,184
278,present,183
1026,body.,183
1308,appearance,183
449,"cocoa,",183
1227,years,182
551,nicely,182
3502,"fruits,",182
353,tongue,182
7016,"tart,",181
6891,tartness,179
1583,know,178
2709,last,178
1405,take,178
1759,"bodied,",178
2634,hops.,177
721,cloudy,177
445,"rich,",176
1303,coming,176
2372,fingers,175
933,2017,175
25,gold,175
495,nothing,174
4259,fades,174
1247,vintage,174
160,here.,174
247,frothy,174
755,"well,",173
3085,one.,173
133,pleasant,172
2009,dense,171
2488,pint,171
424,silky,171
1687,double,171
2266,"hops,",170
3069,bottled,170
769,level,170
6473,acidic,169
441,enjoyed,169
3181,wonderful,168
2469,abv.,168
338,syrup,168
1094,sweet.,168
1122,"sweetness,",166
1146,nearly,166
1588,coffee.,166
1138,khaki,165
4281,left,165
823,"finish,",165
1673,"good,",164
333,molasses,162
3884,color.,162
2072,can't,162
718,highly,162
546,adds,162
2177,dried,161
1370,lighter,161
67,presence,160
2263,"pine,",160
918,certainly,159
221,drinkable,159
2534,ipa.,159
1746,actually,158
232,2016,158
1401,kind,157
2344,incredible,157
1067,inch,157
1263,i’m,157
157,real,156
1082,"mouthfeel,",156
261,smooth.,156
848,hype,156
2423,thing,155
239,"barrel,",155
2014,go,155
396,finally,155
2747,style.,155
1161,bubbles,154
844,version,154
789,brewery,154
3103,"apricot,",152
356,warming,152
2950,ale,152
2946,amber,152
291,"black,",151
549,lingers,151
886,made,151
3933,acidity,151
1572,4,150
865,tasting,150
254,"syrup,",150
1033,tasty,150
1747,apple,150
4255,fruit.,150
1451,far,150
218,i’ve,150
6216,"dry,",149
448,loads,149
326,cap,149
1642,dissipates,149
1769,enjoyable,148
193,expected,148
1014,palate.,148
1170,"flavor,",148
809,settles,148
657,12,148
2167,rather,148
226,mix,147
930,different,147
583,forward,146
1417,tasted,145
1976,",",145
907,truly,145
2626,piney,144
1724,tried,144
5471,trillium,144
236,toffee,144
688,quality,144
7057,"sour,",144
444,oily,143
13,bite,142
3403,yeast,142
1244,outstanding,142
570,"glass,",141
1890,16,141
1008,spice,140
49,"maple,",140
1187,"bottle,",140
4196,goes,139
2667,slowly,139
472,damn,139
1291,end.,138
1727,awesome,138
840,wish,138
1275,pepper,138
744,enjoy,138
1657,snifter.,137
4661,grape,137
2426,"nice,",137
1796,gets,137
3104,give,136
11,hot,136
628,balanced.,135
1262,"fudge,",135
273,mostly,135
582,"taste,",134
1085,surprisingly,134
423,"aroma,",134
1077,together,134
2371,3,133
1037,regular,133
1940,"here,",133
473,near,132
