,word,frequency
58,beer,3176
126,-,2641
29,dark,2594
15,like,2277
107,head,2043
394,nice,1886
125,taste,1869
179,one,1791
1008,light,1726
297,sweet,1725
292,bit,1536
402,white,1506
66,little,1501
56,really,1490
296,chocolate,1444
51,good,1390
269,notes,1369
332,medium,1334
28,pours,1323
53,bourbon,1291
57,great,1255
4,coffee,1252
2354,orange,1240
135,well,1237
104,black,1211
169,poured,1148
30,brown,1116
250,bottle,1113
39,barrel,1074
121,aroma,1063
280,flavor,1043
306,fruit,1028
115,nose,993
177,"chocolate,",991
2399,citrus,969
152,beer.,959
559,body,941
62,flavors,940
50,vanilla,933
38,much,928
141,smooth,923
102,thick,915
171,head.,905
943,hop,833
573,get,832
458,big,800
361,creamy,779
750,quite,777
593,still,758
1451,slightly,755
2293,tropical,753
43,mouthfeel,750
258,"vanilla,",748
507,malt,735
349,almost,731
31,color,731
2352,hazy,716
180,best,714
278,alcohol,711
967,dry,709
146,would,706
353,full,706
1468,bitterness,692
260,feel,678
282,finish.,674
42,rich,659
173,hint,649
213,carbonation,640
195,thin,640
522,also,630
1489,finish,629
244,bitter,624
921,pretty,623
621,slight,616
129,even,615
181,i've,612
10,maple,612
1043,sweetness,610
178,touch,607
47,"coffee,",596
54,oak,586
172,smell,576
3923,sour,575
532,roasted,574
1668,finger,566
94,balanced,565
308,super,562
132,it.,556
753,"bourbon,",549
229,definitely,533
36,lots,532
1017,"oak,",528
3196,tart,526
631,stout,520
463,mild,517
253,smells,513
335,strong,503
83,beers,499
304,caramel,498
2590,juicy,498
928,balance,494
1148,carbonation.,494
1561,moderate,493
485,first,493
2471,grapefruit,488
1001,lacing,484
1314,hops,480
407,"beer,",480
249,tan,475
2926,fresh,472
1325,soft,472
526,coconut,463
221,complex,461
1151,"caramel,",448
35,glass.,446
198,glass,444
632,it’s,436
44,lot,435
2506,golden,434
302,back,432
88,overall,426
406,perfect,420
187,pour,420
1543,deep,417
1051,way,413
1118,around,413
1179,mouth,412
1589,amount,411
4155,wine,410
408,think,410
182,ever,408
1419,could,407
1635,i'm,403
117,huge,401
352,heavy,397
170,small,396
285,excellent,395
1903,fruity,395
401,try,394
267,better,394
242,"fruit,",394
2397,"mango,",394
648,drink,390
738,time,389
628,&,386
769,"sweet,",384
2296,ipa,378
2730,"pineapple,",375
503,aromas,374
396,red,372
759,high,372
1221,lacing.,371
466,earthy,358
1128,follows,358
2337,dank,358
605,two,358
561,well.,356
2636,yellow,356
949,milk,356
293,amazing,353
797,love,350
418,maybe,349
594,comes,347
1147,low,346
339,right,341
3188,easy,341
2343,pine,340
1739,bodied,339
830,sticky,339
2353,bright,337
494,"body,",335
74,top,335
2344,"grapefruit,",334
386,nose.,334
2391,"orange,",333
151,aged,333
3328,peach,332
1745,"head,",332
365,long,331
887,boozy,330
1664,abv,329
370,subtle,327
495,quickly,326
1191,solid,323
379,got,323
811,minimal,323
1669,leaves,320
206,along,319
108,retention,318
254,tastes,317
326,cinnamon,317
1374,hints,317
768,lingering,316
69,notes.,314
140,"thick,",314
907,base,312
1339,fairly,306
145,"overall,",306
2472,lemon,305
23,worth,304
861,another,303
6887,funk,302
2520,pineapple,302
470,"smooth,",302
1360,side,300
2197,palate,299
1381,finishes,299
1319,"malt,",298
63,without,298
1479,foam,295
1758,there's,292
37,"nose,",290
410,green,288
175,drinking,288
569,yet,287
1132,enough,286
2009,beautiful,284
2687,pale,283
2579,juice,282
2611,"citrus,",281
3297,mango,279
1006,"molasses,",274
330,ring,274
1905,"toffee,",272
1261,absolutely,272
888,stout.,266
464,toasted,265
680,"it,",263
3494,fruits,260
84,less,259
698,favorite,258
61,many,258
5373,cherry,258
1326,"carbonation,",257
2564,floral,256
755,tons,256
2373,canned,255
1407,imperial,254
642,come,254
1829,going,253
1087,makes,252
6891,"funk,",252
1201,"sugar,",249
388,booze,248
719,something,248
40,heat,246
711,character,245
1741,brew,244
490,mocha,244
1723,thanks,244
455,roasty,244
46,flavor.,243
1324,bitterness.,241
1218,opaque,241
1377,"notes,",240
1547,followed,239
1072,looks,238
1011,ba,238
1569,"malts,",237
524,lightly,237
1056,half,236
2651,clear,235
835,never,233
6007,funky,232
1411,see,232
223,everything,232
3480,tree,231
263,probably,231
1162,old,230
72,style,230
337,roast,229
111,drank,228
1126,overly,227
2518,"peach,",226
2360,malts,225
798,front,225
13866,raspberry,224
1202,fantastic,223
510,cocoa,223
675,bottle.,222
546,complexity,221
442,batch,221
657,say,220
828,though,220
1317,colored,219
412,tap,219
1131,flavors.,217
1832,oz,217
1253,delicious,216
469,"creamy,",215
265,had.,215
225,stouts,214
2062,sugar,213
853,every,212
1759,decent,211
760,end,208
2246,look,208
1731,"coconut,",207
972,chocolate.,207
1053,make,207
1085,extremely,206
534,getting,206
230,world,205
174,bourbon.,205
475,that's,205
1514,i'd,205
498,leaving,204
1276,tulip,204
2741,ripe,204
405,seems,204
3135,plenty,204
1320,similar,203
247,pitch,203
2684,sip,201
709,profile,201
1792,blend,201
438,me.,201
643,new,200
597,sure,200
520,spicy,199
2574,hoppy,199
3320,apricot,199
2526,"lemon,",199
565,faint,198
100,good.,196
802,"cinnamon,",196
508,brings,196
1310,perfectly,195
1041,note,195
1935,taste.,195
2385,fluffy,195
645,glad,195
3067,aroma.,195
756,burnt,194
167,2018,193
228,this.,192
916,2,191
1744,"color,",190
2947,incredibly,190
2512,foamy,190
2907,honey,190
3575,house,189
685,intense,189
2402,clean,189
128,find,189
315,might,188
3275,herbal,188
139,sweetness.,188
1193,want,187
59,hard,187
130,looking,185
623,somewhat,185
1192,mouthfeel.,184
2835,stone,184
2050,vanilla.,184
3518,"tangerine,",184
653,may,184
279,present,183
453,"cocoa,",183
1316,appearance,183
1032,body.,183
1235,years,182
556,nicely,182
356,tongue,182
3513,"fruits,",182
7022,"tart,",181
6897,tartness,179
1592,know,178
1768,"bodied,",178
1413,take,178
2722,last,178
726,cloudy,177
2647,hops.,177
1311,coming,176
449,"rich,",176
25,gold,175
2384,fingers,175
938,2017,175
499,nothing,174
248,frothy,174
4266,fades,174
1255,vintage,174
161,here.,174
2948,crisp,173
3097,one.,173
761,"well,",173
133,pleasant,172
2019,dense,171
428,silky,171
2501,pint,171
1696,double,171
3081,bottled,170
775,level,170
2276,"hops,",170
6479,acidic,169
445,enjoyed,169
3193,wonderful,168
341,syrup,168
2482,abv.,168
1101,sweet.,168
1321,malty,167
1597,coffee.,166
1154,nearly,166
1129,"sweetness,",166
1146,khaki,165
829,"finish,",165
4288,left,165
1682,"good,",164
3894,color.,162
336,molasses,162
2082,can't,162
551,adds,162
723,highly,162
1378,lighter,161
2187,dried,161
67,presence,160
2273,"pine,",160
222,drinkable,159
923,certainly,159
2547,ipa.,159
233,2016,158
1755,actually,158
1074,inch,157
1271,i’m,157
1409,kind,157
2356,incredible,157
1089,"mouthfeel,",156
158,real,156
262,smooth.,156
854,hype,156
2024,go,155
2760,style.,155
2435,thing,155
400,finally,155
240,"barrel,",155
795,brewery,154
1169,bubbles,154
850,version,154
359,warming,152
2958,amber,152
3115,"apricot,",152
2962,ale,152
291,"black,",151
3941,acidity,151
554,lingers,151
891,made,151
255,"syrup,",150
1581,4,150
4262,fruit.,150
219,i’ve,150
1039,tasty,150
1459,far,150
1756,apple,150
870,tasting,150
328,cap,149
1651,dissipates,149
6222,"dry,",149
452,loads,149
1178,"flavor,",148
815,settles,148
194,expected,148
2177,rather,148
1778,enjoyable,148
662,12,148
1020,palate.,148
935,different,147
227,mix,147
588,forward,146
912,truly,145
1986,",",145
1425,tasted,145
7063,"sour,",144
693,quality,144
2639,piney,144
5476,trillium,144
1733,tried,144
237,toffee,144
448,oily,143
3415,yeast,142
1252,outstanding,142
13,bite,142
575,"glass,",141
1899,16,141
1014,spice,140
1195,"bottle,",140
49,"maple,",140
2680,slowly,139
476,damn,139
4203,goes,139
846,wish,138
1299,end.,138
1736,awesome,138
1283,pepper,138
749,enjoy,138
